ID,Name,NetID,Email Address
157,"""Harrel,  Avianna Dorothy""",LTK3RYF, Avianna_Dorothy. Harrel@UNIV.EDU
486,"""Bloxha,  Davinia Michael""",FGILD9W, Davinia_Michael. Bloxha@UNIV.EDU
206,"""Love,  Aniyah Michael""",LYSURI0, Aniyah_Michael. Love@UNIV.EDU
296,"""Hutchinso,  Noel Robert""",84G0XF7, Noel_Robert. Hutchinso@UNIV.EDU
349,"""Clemen,  Marcia Jackson""",83WEGRX, Marcia_Jackson. Clemen@UNIV.EDU
334,"""Dawso,  Rosalie Erick""",3NTJ6P0, Rosalie_Erick. Dawso@UNIV.EDU
591,"""Sha,  Stacia Coy""",4VY6HUP, Stacia_Coy. Sha@UNIV.EDU
344,"""Dea,  Elyse Phyliss""",WXK6SP4, Elyse_Phyliss. Dea@UNIV.EDU
701,"""Jardin,  Deon Lino""",UKPHX2E, Deon_Lino. Jardin@UNIV.EDU
291,"""Windso,  Thea Alonzo""",ORPOUE2, Thea_Alonzo. Windso@UNIV.EDU
292,"""Trengov,  Chelsea Jacalyn""",1Z0MFHR, Chelsea_Jacalyn. Trengov@UNIV.EDU
304,"""Gor,  Tabby German""",1F4A7WX, Tabby_German. Gor@UNIV.EDU
529,"""Shirle,  Rob Spencer""",YECW4DT, Rob_Spencer. Shirle@UNIV.EDU
629,"""Small,  Flick Elease""",XQWA24C, Flick_Elease. Small@UNIV.EDU
126,"""Jackso,  Arlie Alonzo""",3CNAELO, Arlie_Alonzo. Jackso@UNIV.EDU
963,"""Abbe,  Vikki Jacalyn""",MPB9RSR, Vikki_Jacalyn. Abbe@UNIV.EDU
248,"""Hartle,  Lindsay German""",ZJX9O3N, Lindsay_German. Hartle@UNIV.EDU
892,"""Cok,  Kaydence Spencer""",1TG1TKF, Kaydence_Spencer. Cok@UNIV.EDU
936,"""Abbot,  Crew Elease""",SX4IFKE, Crew_Elease. Abbot@UNIV.EDU
669,"""Arnol,  Archie Sendejo""",7C27E21, Archie_Sendejo. Arnol@UNIV.EDU
322,"""Harriso,  Chile Caminita""",YGXENCL, Chile_Caminita. Harriso@UNIV.EDU
856,"""Shelb,  Harvey Kriegh""",4HUSHOZ, Harvey_Kriegh. Shelb@UNIV.EDU
547,"""Randal,  Bryan Stjean""",L9NWPWK, Bryan_Stjean. Randal@UNIV.EDU
445,"""Ilber,  Marlowe Violetta""",7KYBW8V, Marlowe_Violetta. Ilber@UNIV.EDU
576,"""Mallor,  Eppie Chajon""",8LSM9T6, Eppie_Chajon. Mallor@UNIV.EDU
183,"""Mynat,  Braiden Frans""",5N001L9, Braiden_Frans. Mynat@UNIV.EDU
258,"""Shelb,  Harvey Quashnock""",M2SIV1Y, Harvey_Quashnock. Shelb@UNIV.EDU
687,"""Stoddar,  Perce Minihan""",53OVX0P, Perce_Minihan. Stoddar@UNIV.EDU
563,"""Bec,  Thane Berdahl""",IGTR2HV, Thane_Berdahl. Bec@UNIV.EDU
759,"""Townsen,  Tayler Cichosz""",PXN7B93, Tayler_Cichosz. Townsen@UNIV.EDU
129,"""Carlyl,  Sandie VanBlaricum""",15767N2, Sandie_VanBlaricum. Carlyl@UNIV.EDU
350,"""Mather,  Samuel Skarphol""",7HY61I4, Samuel_Skarphol. Mather@UNIV.EDU
287,"""Wardrob,  Mercy Latunski""",IOL524O, Mercy_Latunski. Wardrob@UNIV.EDU
958,"""Maynar,  Tera Mendola""",IE5X349, Tera_Mendola. Maynar@UNIV.EDU
118,"""Huber,  Krisztina Karen""",OH6BA9C, Krisztina_Karen. Huber@UNIV.EDU
129,"""Tenniso,  Caesarius Michael""",BMXG3FN, Caesarius_Michael. Tenniso@UNIV.EDU
675,"""Hayle,  Tye John""",H54A5TS, Tye_John. Hayle@UNIV.EDU
424,"""River,  Reanna David""",QROVINT, Reanna_David. River@UNIV.EDU
618,"""Woodha,  Cali Susan""",ULL76P6, Cali_Susan. Woodha@UNIV.EDU
109,"""Aker,  Alphonzo James""",HDOOYGV, Alphonzo_James. Aker@UNIV.EDU
708,"""Hai,  Milo Jessica""",91OMF38, Milo_Jessica. Hai@UNIV.EDU
547,"""Darc,  Clem John""",2HYQJQT, Clem_John. Darc@UNIV.EDU
442,"""Whittl,  Sallie John""",MMBP1HB, Sallie_John. Whittl@UNIV.EDU
588,"""Hardwic,  Indigo Michael""",4JNHPMA, Indigo_Michael. Hardwic@UNIV.EDU
783,"""Porte,  Elliana David""",E39KSQ5, Elliana_David. Porte@UNIV.EDU
634,"""Gillia,  Rosanne Susan""",4MATDNQ, Rosanne_Susan. Gillia@UNIV.EDU
747,"""Whit,  Indy David""",0LSKZJZ, Indy_David. Whit@UNIV.EDU
153,"""Haywar,  Glenna James""",E7J4CYB, Glenna_James. Haywar@UNIV.EDU
638,"""Burnha,  Elma William""",5VRGYI6, Elma_William. Burnha@UNIV.EDU
450,"""Simo,  Royce William""",92664UB, Royce_William. Simo@UNIV.EDU
468,"""Dudle,  Stephani Michelle""",KTDUKYU, Stephani_Michelle. Dudle@UNIV.EDU
271,"""Ead,  Krista David""",FNQ2F6S, Krista_David. Ead@UNIV.EDU
772,"""Cook,  Merrilyn David""",192ZRXP, Merrilyn_David. Cook@UNIV.EDU
441,"""Whiner,  Kayden Sandra""",PUK5MD8, Kayden_Sandra. Whiner@UNIV.EDU
932,"""Osbourn,  Griffin Robert""",R8NK7QQ, Griffin_Robert. Osbourn@UNIV.EDU
550,"""Alliso,  Louie Sarah""",6OL0TOR, Louie_Sarah. Alliso@UNIV.EDU
484,"""Hex,  Evangeline Dorothy""",8C23S8Q, Evangeline_Dorothy. Hex@UNIV.EDU
196,"""Lov,  Wilkie James""",S8FT2RP, Wilkie_James. Lov@UNIV.EDU
449,"""Atkinso,  Aubree Donna""",3V9LLN0, Aubree_Donna. Atkinso@UNIV.EDU
966,"""Gor,  Marshall James""",189WHWR, Marshall_James. Gor@UNIV.EDU
432,"""Iver,  Memphis Sarah""",5ASK9L7, Memphis_Sarah. Iver@UNIV.EDU
230,"""Re,  Rodge Robert""",0209YIH, Rodge_Robert. Re@UNIV.EDU
647,"""Beverle,  Ivy Richard""",PLRXVYQ, Ivy_Richard. Beverle@UNIV.EDU
706,"""Southgat,  Trudie David""",21VGY23, Trudie_David. Southgat@UNIV.EDU
380,"""Corwi,  Osborn Michelle""",SPXSHRH, Osborn_Michelle. Corwi@UNIV.EDU
586,"""Ackerma,  Zaria Susan""",UMGK0LE, Zaria_Susan. Ackerma@UNIV.EDU
563,"""Foste,  Dulcibella William""",XDBDLWR, Dulcibella_William. Foste@UNIV.EDU
787,"""Marlo,  Finlay Dorothy""",ZCZQ374, Finlay_Dorothy. Marlo@UNIV.EDU
613,"""Hartel,  Felicity James""",UDXDPV9, Felicity_James. Hartel@UNIV.EDU
470,"""Sime,  Vera Michelle""",VWPSMGA, Vera_Michelle. Sime@UNIV.EDU
495,"""Emme,  Petronel Susan""",WR1JW96, Petronel_Susan. Emme@UNIV.EDU
221,"""Fran,  Emmitt William""",VTMHGYG, Emmitt_William. Fran@UNIV.EDU
104,"""Sawye,  Sterling Dorothy""",AQWLQBP, Sterling_Dorothy. Sawye@UNIV.EDU
570,"""Warric,  Justine James""",IQVZFUS, Justine_James. Warric@UNIV.EDU
393,"""Garne,  Valorie Michael""",11RJN3N, Valorie_Michael. Garne@UNIV.EDU
284,"""Butle,  Raelyn Robert""",LLAMO6F, Raelyn_Robert. Butle@UNIV.EDU
136,"""Cris,  Maree Betty""",W4ZJH3I, Maree_Betty. Cris@UNIV.EDU
679,"""Waldrou,  Priscilla William""",5HNWNGI, Priscilla_William. Waldrou@UNIV.EDU
980,"""Chapli,  Cale Michael""",FSOJJ3G, Cale_Michael. Chapli@UNIV.EDU
545,"""Marlo,  Ethelinda William""",66APVRD, Ethelinda_William. Marlo@UNIV.EDU
157,"""Harrel,  Avianna Dorothy""",LTK3RYF, Avianna_Dorothy. Harrel@UNIV.EDU
486,"""Bloxha,  Davinia Michael""",FGILD9W, Davinia_Michael. Bloxha@UNIV.EDU
206,"""Love,  Aniyah Michael""",LYSURI0, Aniyah_Michael. Love@UNIV.EDU
296,"""Hutchinso,  Noel Robert""",84G0XF7, Noel_Robert. Hutchinso@UNIV.EDU
349,"""Clemen,  Marcia Jackson""",83WEGRX, Marcia_Jackson. Clemen@UNIV.EDU
334,"""Dawso,  Rosalie Erick""",3NTJ6P0, Rosalie_Erick. Dawso@UNIV.EDU
591,"""Sha,  Stacia Coy""",4VY6HUP, Stacia_Coy. Sha@UNIV.EDU
344,"""Dea,  Elyse Phyliss""",WXK6SP4, Elyse_Phyliss. Dea@UNIV.EDU
701,"""Jardin,  Deon Lino""",UKPHX2E, Deon_Lino. Jardin@UNIV.EDU
291,"""Windso,  Thea Alonzo""",ORPOUE2, Thea_Alonzo. Windso@UNIV.EDU
292,"""Trengov,  Chelsea Jacalyn""",1Z0MFHR, Chelsea_Jacalyn. Trengov@UNIV.EDU
304,"""Gor,  Tabby German""",1F4A7WX, Tabby_German. Gor@UNIV.EDU
529,"""Shirle,  Rob Spencer""",YECW4DT, Rob_Spencer. Shirle@UNIV.EDU
629,"""Small,  Flick Elease""",XQWA24C, Flick_Elease. Small@UNIV.EDU
126,"""Jackso,  Arlie Alonzo""",3CNAELO, Arlie_Alonzo. Jackso@UNIV.EDU
963,"""Abbe,  Vikki Jacalyn""",MPB9RSR, Vikki_Jacalyn. Abbe@UNIV.EDU
248,"""Hartle,  Lindsay German""",ZJX9O3N, Lindsay_German. Hartle@UNIV.EDU
892,"""Cok,  Kaydence Spencer""",1TG1TKF, Kaydence_Spencer. Cok@UNIV.EDU
936,"""Abbot,  Crew Elease""",SX4IFKE, Crew_Elease. Abbot@UNIV.EDU
669,"""Arnol,  Archie Sendejo""",7C27E21, Archie_Sendejo. Arnol@UNIV.EDU
322,"""Harriso,  Chile Caminita""",YGXENCL, Chile_Caminita. Harriso@UNIV.EDU
856,"""Shelb,  Harvey Kriegh""",4HUSHOZ, Harvey_Kriegh. Shelb@UNIV.EDU
547,"""Randal,  Bryan Stjean""",L9NWPWK, Bryan_Stjean. Randal@UNIV.EDU
445,"""Ilber,  Marlowe Violetta""",7KYBW8V, Marlowe_Violetta. Ilber@UNIV.EDU
576,"""Mallor,  Eppie Chajon""",8LSM9T6, Eppie_Chajon. Mallor@UNIV.EDU
183,"""Mynat,  Braiden Frans""",5N001L9, Braiden_Frans. Mynat@UNIV.EDU
258,"""Shelb,  Harvey Quashnock""",M2SIV1Y, Harvey_Quashnock. Shelb@UNIV.EDU
687,"""Stoddar,  Perce Minihan""",53OVX0P, Perce_Minihan. Stoddar@UNIV.EDU
563,"""Bec,  Thane Berdahl""",IGTR2HV, Thane_Berdahl. Bec@UNIV.EDU
759,"""Townsen,  Tayler Cichosz""",PXN7B93, Tayler_Cichosz. Townsen@UNIV.EDU
129,"""Carlyl,  Sandie VanBlaricum""",15767N2, Sandie_VanBlaricum. Carlyl@UNIV.EDU
350,"""Mather,  Samuel Skarphol""",7HY61I4, Samuel_Skarphol. Mather@UNIV.EDU
287,"""Wardrob,  Mercy Latunski""",IOL524O, Mercy_Latunski. Wardrob@UNIV.EDU
958,"""Maynar,  Tera Mendola""",IE5X349, Tera_Mendola. Maynar@UNIV.EDU
