SID, First, Last,Exam 1 Score,Exam 1 Max Points,Exam 1 Submission Time,Exam 1 Due Date,Exam 2 Score,Exam 2 Max Points,Exam 2 Submission Time,Exam 2 Due Date,Exam 3 Score,Exam 3 Max Points,Exam 3 Submission Time, Exam 3 Due Date,Exam 4 Score,Exam 4 Max Points,Exam 4 Submission Time,Exam 4 Due Date
4MATDNQ, Rosanne, Gillia,85,100,10/6/2021 0:09, 2022-03-27 23:59:59,77,100,1/26/2022 1:28, 2021-12-13 23:59:59,93,100,3/7/2022 19:42, 2022-02-13 23:59:59,100,100,3/29/2022 4:00, 2021-09-29 23:59:5
0LSKZJZ, Indy, Whit,91,100,4/6/2022 2:58, 2022-03-27 23:59:59,77,100,3/31/2022 2:12, 2021-12-13 23:59:59,85,100,5/1/2022 7:25, 2022-02-13 23:59:59,71,100,5/4/2022 21:13, 2021-09-29 23:59:5
E7J4CYB, Glenna, Haywar,100,100,10/9/2021 23:02, 2022-03-27 23:59:59,99,100,11/20/2021 15:06, 2021-12-13 23:59:59,99,100,3/2/2022 5:45, 2022-02-13 23:59:59,81,100,1/5/2022 23:59, 2021-09-29 23:59:5
5VRGYI6, Elma, Burnha,87,100,10/9/2021 22:31, 2022-03-27 23:59:59,72,100,10/11/2021 1:58, 2021-12-13 23:59:59,85,100,4/8/2022 7:54, 2022-02-13 23:59:59,87,100,3/1/2022 15:04, 2021-09-29 23:59:5
92664UB, Royce, Simo,92,100,3/1/2022 0:03, 2022-03-27 23:59:59,81,100,3/23/2022 16:11, 2021-12-13 23:59:59,86,100,2/22/2022 16:28, 2022-02-13 23:59:59,82,100,4/16/2022 7:27, 2021-09-29 23:59:5
KTDUKYU, Stephani, Dudle,93,100,4/20/2022 12:04, 2022-03-27 23:59:59,96,100,10/3/2021 18:07, 2021-12-13 23:59:59,97,100,11/6/2021 7:24, 2022-02-13 23:59:59,96,100,9/2/2021 21:23, 2021-09-29 23:59:5
FNQ2F6S, Krista, Ead,98,100,11/28/2021 13:36, 2022-03-27 23:59:59,87,100,1/23/2022 5:02, 2021-12-13 23:59:59,87,100,4/18/2022 19:46, 2022-02-13 23:59:59,99,100,11/12/2021 18:16, 2021-09-29 23:59:5
192ZRXP, Merrilyn, Cook,98,100,10/28/2021 16:44, 2022-03-27 23:59:59,65,100,9/15/2021 13:22, 2021-12-13 23:59:59,95,100,5/11/2022 10:44, 2022-02-13 23:59:59,96,100,3/11/2022 21:30, 2021-09-29 23:59:5
PUK5MD8, Kayden, Whiner,76,100,10/31/2021 13:52, 2022-03-27 23:59:59,66,100,9/19/2021 17:00, 2021-12-13 23:59:59,100,100,5/14/2022 12:04, 2022-02-13 23:59:59,82,100,4/3/2022 11:10, 2021-09-29 23:59:5
R8NK7QQ, Griffin, Osbourn,95,100,4/2/2022 20:54, 2022-03-27 23:59:59,77,100,10/14/2021 16:08, 2021-12-13 23:59:59,98,100,4/9/2022 20:45, 2022-02-13 23:59:59,77,100,1/10/2022 11:45, 2021-09-29 23:59:5
6OL0TOR, Louie, Alliso,76,100,10/8/2021 2:08, 2022-03-27 23:59:59,96,100,10/23/2021 17:50, 2021-12-13 23:59:59,88,100,5/2/2022 7:24, 2022-02-13 23:59:59,73,100,4/20/2022 6:04, 2021-09-29 23:59:5
8C23S8Q, Evangeline, Hex,99,100,12/12/2021 17:52, 2022-03-27 23:59:59,94,100,4/25/2022 0:50, 2021-12-13 23:59:59,100,100,3/14/2022 1:02, 2022-02-13 23:59:59,91,100,5/16/2022 1:29, 2021-09-29 23:59:5
S8FT2RP, Wilkie, Lov,100,100,2/12/2022 3:50, 2022-03-27 23:59:59,69,100,11/20/2021 12:05, 2021-12-13 23:59:59,86,100,5/4/2022 5:00, 2022-02-13 23:59:59,71,100,10/24/2021 22:04, 2021-09-29 23:59:5
3V9LLN0, Aubree, Atkinso,57,100,3/22/2022 13:50, 2022-03-27 23:59:59,75,100,6/7/2022 20:03, 2021-12-13 23:59:59,88,100,12/14/2021 22:17, 2022-02-13 23:59:59,75,100,5/1/2022 20:38, 2021-09-29 23:59:5
189WHWR, Marshall, Gor,97,100,12/9/2021 20:54, 2022-03-27 23:59:59,66,100,11/15/2021 10:34, 2021-12-13 23:59:59,93,100,5/8/2022 15:11, 2022-02-13 23:59:59,85,100,3/27/2022 8:11, 2021-09-29 23:59:5
5ASK9L7, Memphis, Iver,94,100,11/5/2021 12:31, 2022-03-27 23:59:59,85,100,2/25/2022 14:49, 2021-12-13 23:59:59,98,100,4/13/2022 14:44, 2022-02-13 23:59:59,86,100,10/18/2021 17:26, 2021-09-29 23:59:5
0209YIH, Rodge, Re,64,100,12/24/2021 18:30, 2022-03-27 23:59:59,97,100,4/25/2022 9:28, 2021-12-13 23:59:59,99,100,9/17/2021 18:27, 2022-02-13 23:59:59,71,100,9/13/2021 7:29, 2021-09-29 23:59:5
PLRXVYQ, Ivy, Beverle,50,100,12/6/2021 14:58, 2022-03-27 23:59:59,94,100,1/1/2022 0:13, 2021-12-13 23:59:59,93,100,11/26/2021 9:14, 2022-02-13 23:59:59,95,100,5/2/2022 9:20, 2021-09-29 23:59:5
21VGY23, Trudie, Southgat,90,100,10/17/2021 16:15, 2022-03-27 23:59:59,81,100,12/7/2021 8:04, 2021-12-13 23:59:59,85,100,3/13/2022 15:49, 2022-02-13 23:59:59,94,100,4/3/2022 20:17, 2021-09-29 23:59:5
SPXSHRH, Osborn, Corwi,69,100,10/8/2021 9:15, 2022-03-27 23:59:59,76,100,12/27/2021 10:03, 2021-12-13 23:59:59,88,100,5/12/2022 12:31, 2022-02-13 23:59:59,73,100,1/8/2022 0:17, 2021-09-29 23:59:5
UMGK0LE, Zaria, Ackerma,92,100,6/4/2022 16:03, 2022-03-27 23:59:59,72,100,3/12/2022 21:48, 2021-12-13 23:59:59,95,100,11/14/2021 21:25, 2022-02-13 23:59:59,93,100,11/25/2021 22:27, 2021-09-29 23:59:5
XDBDLWR, Dulcibella, Foste,54,100,4/20/2022 11:43, 2022-03-27 23:59:59,89,100,1/23/2022 15:36, 2021-12-13 23:59:59,97,100,10/25/2021 19:08, 2022-02-13 23:59:59,55,100,1/24/2022 19:06, 2021-09-29 23:59:5
ZCZQ374, Finlay, Marlo,80,100,3/22/2022 9:11, 2022-03-27 23:59:59,79,100,11/4/2021 16:42, 2021-12-13 23:59:59,93,100,9/27/2021 12:27, 2022-02-13 23:59:59,100,100,3/31/2022 14:43, 2021-09-29 23:59:5
UDXDPV9, Felicity, Hartel,49,100,2/9/2022 19:17, 2022-03-27 23:59:59,76,100,4/16/2022 19:10, 2021-12-13 23:59:59,100,100,4/15/2022 14:17, 2022-02-13 23:59:59,14,100,1/14/2022 12:24, 2021-09-29 23:59:5
VWPSMGA, Vera, Sime,54,100,12/8/2021 21:18, 2022-03-27 23:59:59,81,100,2/27/2022 23:33, 2021-12-13 23:59:59,85,100,12/26/2021 2:29, 2022-02-13 23:59:59,19,100,11/20/2021 7:32, 2021-09-29 23:59:5
WR1JW96, Petronel, Emme,41,100,2/13/2022 18:38, 2022-03-27 23:59:59,98,100,6/3/2022 17:41, 2021-12-13 23:59:59,96,100,10/18/2021 11:24, 2022-02-13 23:59:59,65,100,1/31/2022 8:56, 2021-09-29 23:59:5
VTMHGYG, Emmitt, Fran,84,100,12/14/2021 17:54, 2022-03-27 23:59:59,99,100,5/5/2022 21:33, 2021-12-13 23:59:59,95,100,5/6/2022 18:00, 2022-02-13 23:59:59,86,100,3/9/2022 5:58, 2021-09-29 23:59:5
AQWLQBP, Sterling, Sawye,97,100,1/13/2022 0:14, 2022-03-27 23:59:59,96,100,9/23/2021 21:30, 2021-12-13 23:59:59,97,100,12/21/2021 17:31, 2022-02-13 23:59:59,61,100,12/5/2021 23:10, 2021-09-29 23:59:5
IQVZFUS, Justine, Warric,98,100,3/4/2022 7:39, 2022-03-27 23:59:59,84,100,9/23/2021 19:03, 2021-12-13 23:59:59,97,100,12/9/2021 17:32, 2022-02-13 23:59:59,13,100,5/30/2022 21:03, 2021-09-29 23:59:5
11RJN3N, Valorie, Garne,92,100,5/25/2022 15:09, 2022-03-27 23:59:59,94,100,12/10/2021 9:10, 2021-12-13 23:59:59,88,100,2/17/2022 22:05, 2022-02-13 23:59:59,22,100,12/5/2021 12:54, 2021-09-29 23:59:5
LLAMO6F, Raelyn, Butle,89,100,3/31/2022 8:43, 2022-03-27 23:59:59,84,100,3/4/2022 3:08, 2021-12-13 23:59:59,89,100,3/25/2022 3:28, 2022-02-13 23:59:59,6,100,2/18/2022 16:21, 2021-09-29 23:59:5
W4ZJH3I, Maree, Cris,85,100,9/12/2021 21:31, 2022-03-27 23:59:59,94,100,10/25/2021 14:42, 2021-12-13 23:59:59,98,100,11/30/2021 15:30, 2022-02-13 23:59:59,8,100,11/6/2021 2:42, 2021-09-29 23:59:5
5HNWNGI, Priscilla, Waldrou,65,100,11/10/2021 12:16, 2022-03-27 23:59:59,65,100,1/9/2022 21:32, 2021-12-13 23:59:59,100,100,3/19/2022 6:25, 2022-02-13 23:59:59,91,100,2/4/2022 13:48, 2021-09-29 23:59:5
FSOJJ3G, Cale, Chapli,95,100,2/7/2022 16:04, 2022-03-27 23:59:59,78,100,12/26/2021 16:21, 2021-12-13 23:59:59,100,100,3/10/2022 16:17, 2022-02-13 23:59:59,85,100,5/20/2022 3:42, 2021-09-29 23:59:5
66APVRD, Ethelinda, Marlo,99,100,12/9/2021 17:14, 2022-03-27 23:59:59,78,100,11/21/2021 1:04, 2021-12-13 23:59:59,100,100,2/2/2022 3:50, 2022-02-13 23:59:59,60,100,3/14/2022 6:08, 2021-09-29 23:59:5
LTK3RYF, Avianna, Harrel,99,100,11/20/2021 11:20, 2022-03-27 23:59:59,97,100,5/13/2022 16:25, 2021-12-13 23:59:59,94,100,5/22/2022 2:16, 2022-02-13 23:59:59,43,100,2/19/2022 16:18, 2021-09-29 23:59:5
FGILD9W, Davinia, Bloxha,73,100,10/13/2021 20:12, 2022-03-27 23:59:59,80,100,1/23/2022 7:10, 2021-12-13 23:59:59,86,100,1/20/2022 17:06, 2022-02-13 23:59:59,7,100,11/8/2021 7:14, 2021-09-29 23:59:5
LYSURI0, Aniyah, Love,66,100,5/1/2022 22:09, 2022-03-27 23:59:59,89,100,9/14/2021 4:38, 2021-12-13 23:59:59,92,100,1/13/2022 2:19, 2022-02-13 23:59:59,51,100,10/26/2021 22:06, 2021-09-29 23:59:5
84G0XF7, Noel, Hutchinso,80,100,5/17/2022 6:39, 2022-03-27 23:59:59,88,100,12/5/2021 21:51, 2021-12-13 23:59:59,90,100,1/21/2022 3:21, 2022-02-13 23:59:59,17,100,9/14/2021 7:24, 2021-09-29 23:59:5
83WEGRX, Marcia, Clemen,96,100,11/9/2021 2:41, 2022-03-27 23:59:59,81,100,9/30/2021 22:34, 2021-12-13 23:59:59,92,100,12/22/2021 8:05, 2022-02-13 23:59:59,28,100,4/30/2022 7:30, 2021-09-29 23:59:5
3NTJ6P0, Rosalie, Dawso,67,100,9/7/2021 5:41, 2022-03-27 23:59:59,83,100,2/12/2022 4:36, 2021-12-13 23:59:59,86,100,5/1/2022 4:59, 2022-02-13 23:59:59,11,100,10/13/2021 17:11, 2021-09-29 23:59:5
4VY6HUP, Stacia, Sha,94,100,3/7/2022 4:32, 2022-03-27 23:59:59,72,100,3/21/2022 14:43, 2021-12-13 23:59:59,93,100,2/14/2022 15:46, 2022-02-13 23:59:59,63,100,4/6/2022 16:23, 2021-09-29 23:59:5
WXK6SP4, Elyse, Dea,72,100,6/4/2022 19:10, 2022-03-27 23:59:59,83,100,10/14/2021 20:38, 2021-12-13 23:59:59,86,100,4/13/2022 20:10, 2022-02-13 23:59:59,36,100,4/18/2022 20:59, 2021-09-29 23:59:5
UKPHX2E, Deon, Jardin,66,100,11/15/2021 3:14, 2022-03-27 23:59:59,87,100,9/13/2021 23:49, 2021-12-13 23:59:59,93,100,5/6/2022 2:12, 2022-02-13 23:59:59,60,100,10/4/2021 12:36, 2021-09-29 23:59:5
ORPOUE2, Thea, Windso,93,100,5/27/2022 9:36, 2022-03-27 23:59:59,70,100,9/16/2021 2:56, 2021-12-13 23:59:59,90,100,3/11/2022 9:19, 2022-02-13 23:59:59,51,100,2/7/2022 4:28, 2021-09-29 23:59:5
1Z0MFHR, Chelsea, Trengov,80,100,3/25/2022 2:17, 2022-03-27 23:59:59,77,100,10/4/2021 21:39, 2021-12-13 23:59:59,95,100,9/19/2021 11:24, 2022-02-13 23:59:59,56,100,3/12/2022 20:00, 2021-09-29 23:59:5
1F4A7WX, Tabby, Gor,83,100,10/23/2021 14:39, 2022-03-27 23:59:59,88,100,2/24/2022 21:04, 2021-12-13 23:59:59,85,100,5/28/2022 4:17, 2022-02-13 23:59:59,93,100,9/21/2021 0:09, 2021-09-29 23:59:5
YECW4DT, Rob, Shirle,99,100,5/25/2022 0:55, 2022-03-27 23:59:59,66,100,11/3/2021 4:58, 2021-12-13 23:59:59,89,100,3/30/2022 20:32, 2022-02-13 23:59:59,42,100,9/9/2021 0:31, 2021-09-29 23:59:5
XQWA24C, Flick, Small,65,100,5/1/2022 23:03, 2022-03-27 23:59:59,87,100,9/7/2021 19:44, 2021-12-13 23:59:59,99,100,5/14/2022 10:24, 2022-02-13 23:59:59,80,100,4/24/2022 18:09, 2021-09-29 23:59:5
3CNAELO, Arlie, Jackso,88,100,11/8/2021 7:10, 2022-03-27 23:59:59,84,100,3/6/2022 2:16, 2021-12-13 23:59:59,97,100,5/5/2022 5:53, 2022-02-13 23:59:59,65,100,2/16/2022 19:26, 2021-09-29 23:59:5
MPB9RSR, Vikki, Abbe,67,100,12/2/2021 7:37, 2022-03-27 23:59:59,68,100,3/27/2022 3:56, 2021-12-13 23:59:59,94,100,10/19/2021 1:21, 2022-02-13 23:59:59,56,100,2/20/2022 15:21, 2021-09-29 23:59:5
ZJX9O3N, Lindsay, Hartle,79,100,10/21/2021 19:00, 2022-03-27 23:59:59,95,100,9/19/2021 8:00, 2021-12-13 23:59:59,98,100,5/15/2022 21:21, 2022-02-13 23:59:59,66,100,11/16/2021 16:38, 2021-09-29 23:59:5
1TG1TKF, Kaydence, Cok,73,100,11/2/2021 18:32, 2022-03-27 23:59:59,99,100,10/15/2021 18:30, 2021-12-13 23:59:59,94,100,5/18/2022 21:05, 2022-02-13 23:59:59,92,100,2/14/2022 17:57, 2021-09-29 23:59:5
SX4IFKE, Crew, Abbot,76,100,9/7/2021 20:44, 2022-03-27 23:59:59,94,100,12/20/2021 23:28, 2021-12-13 23:59:59,99,100,12/4/2021 4:32, 2022-02-13 23:59:59,23,100,4/8/2022 7:27, 2021-09-29 23:59:5
7C27E21, Archie, Arnol,84,100,10/25/2021 11:22, 2022-03-27 23:59:59,85,100,12/1/2021 18:26, 2021-12-13 23:59:59,88,100,5/30/2022 22:50, 2022-02-13 23:59:59,99,100,10/6/2021 16:50, 2021-09-29 23:59:5
YGXENCL, Chile, Harriso,73,100,10/27/2021 0:18, 2022-03-27 23:59:59,88,100,4/6/2022 9:46, 2021-12-13 23:59:59,88,100,9/3/2021 13:59, 2022-02-13 23:59:59,91,100,10/28/2021 9:49, 2021-09-29 23:59:5
4HUSHOZ, Harvey, Shelb,90,100,9/15/2021 1:56, 2022-03-27 23:59:59,93,100,10/8/2021 19:33, 2021-12-13 23:59:59,100,100,5/9/2022 6:14, 2022-02-13 23:59:59,11,100,4/26/2022 17:36, 2021-09-29 23:59:5
L9NWPWK, Bryan, Randal,90,100,11/6/2021 13:12, 2022-03-27 23:59:59,100,100,11/16/2021 9:44, 2021-12-13 23:59:59,85,100,5/19/2022 23:04, 2022-02-13 23:59:59,92,100,10/24/2021 12:46, 2021-09-29 23:59:5
7KYBW8V, Marlowe, Ilber,97,100,3/4/2022 9:56, 2022-03-27 23:59:59,86,100,3/20/2022 23:41, 2021-12-13 23:59:59,100,100,4/15/2022 2:26, 2022-02-13 23:59:59,94,100,9/11/2021 6:36, 2021-09-29 23:59:5
8LSM9T6, Eppie, Mallor,82,100,12/31/2021 0:30, 2022-03-27 23:59:59,85,100,11/14/2021 6:41, 2021-12-13 23:59:59,99,100,9/30/2021 19:10, 2022-02-13 23:59:59,58,100,10/28/2021 2:23, 2021-09-29 23:59:5
5N001L9, Braiden, Mynat,88,100,12/7/2021 21:42, 2022-03-27 23:59:59,92,100,12/28/2021 0:19, 2021-12-13 23:59:59,94,100,10/26/2021 1:16, 2022-02-13 23:59:59,83,100,9/7/2021 10:24, 2021-09-29 23:59:5
M2SIV1Y, Harvey, Shelb,89,100,1/29/2022 2:54, 2022-03-27 23:59:59,87,100,10/6/2021 20:54, 2021-12-13 23:59:59,100,100,10/17/2021 7:13, 2022-02-13 23:59:59,89,100,3/18/2022 11:37, 2021-09-29 23:59:5
53OVX0P, Perce, Stoddar,95,100,3/24/2022 2:02, 2022-03-27 23:59:59,96,100,9/16/2021 8:54, 2021-12-13 23:59:59,88,100,10/16/2021 1:27, 2022-02-13 23:59:59,77,100,10/21/2021 9:25, 2021-09-29 23:59:5
IGTR2HV, Thane, Bec,93,100,11/2/2021 15:22, 2022-03-27 23:59:59,96,100,10/17/2021 19:40, 2021-12-13 23:59:59,93,100,4/17/2022 13:48, 2022-02-13 23:59:59,22,100,2/7/2022 9:28, 2021-09-29 23:59:5
PXN7B93, Tayler, Townsen,81,100,2/23/2022 20:43, 2022-03-27 23:59:59,85,100,12/6/2021 19:19, 2021-12-13 23:59:59,87,100,10/31/2021 2:56, 2022-02-13 23:59:59,63,100,10/3/2021 19:34, 2021-09-29 23:59:5
15767N2, Sandie, Carlyl,95,100,10/15/2021 10:41, 2022-03-27 23:59:59,85,100,10/18/2021 7:32, 2021-12-13 23:59:59,95,100,1/10/2022 4:10, 2022-02-13 23:59:59,72,100,9/21/2021 15:06, 2021-09-29 23:59:5
7HY61I4, Samuel, Mather,49,100,1/6/2022 0:25, 2022-03-27 23:59:59,98,100,10/30/2021 10:10, 2021-12-13 23:59:59,96,100,11/5/2021 10:48, 2022-02-13 23:59:59,56,100,1/1/2022 19:16, 2021-09-29 23:59:5
IOL524O, Mercy, Wardrob,78,100,1/28/2022 20:52, 2022-03-27 23:59:59,93,100,12/12/2021 7:39, 2021-12-13 23:59:59,91,100,4/29/2022 15:39, 2022-02-13 23:59:59,20,100,11/14/2021 5:08, 2021-09-29 23:59:5
IE5X349, Tera, Maynar,45,100,11/10/2021 8:58, 2022-03-27 23:59:59,97,100,9/28/2021 0:20, 2021-12-13 23:59:59,62,100,12/23/2021 4:33, 2022-02-13 23:59:59,82,100,11/28/2021 8:03, 2021-09-29 23:59:5
OH6BA9C, Krisztina, Huber,77,100,4/29/2022 12:13, 2022-03-27 23:59:59,97,100,10/2/2021 10:49, 2021-12-13 23:59:59,94,100,9/22/2021 7:46, 2022-02-13 23:59:59,93,100,10/23/2021 12:23, 2021-09-29 23:59:5
BMXG3FN, Caesarius, Tenniso,78,100,5/16/2022 7:26, 2022-03-27 23:59:59,95,100,10/25/2021 6:28, 2021-12-13 23:59:59,85,100,1/10/2022 7:31, 2022-02-13 23:59:59,93,100,3/22/2022 21:28, 2021-09-29 23:59:5
H54A5TS, Tye, Hayle,98,100,4/27/2022 12:09, 2022-03-27 23:59:59,74,100,10/20/2021 11:44, 2021-12-13 23:59:59,98,100,2/9/2022 4:59, 2022-02-13 23:59:59,91,100,11/17/2021 7:19, 2021-09-29 23:59:5
QROVINT, Reanna, River,91,100,11/9/2021 4:22, 2022-03-27 23:59:59,93,100,10/19/2021 8:39, 2021-12-13 23:59:59,97,100,10/20/2021 7:26, 2022-02-13 23:59:59,91,100,1/19/2022 0:31, 2021-09-29 23:59:5
ULL76P6, Cali, Woodha,77,100,10/28/2021 5:51, 2022-03-27 23:59:59,66,100,5/12/2022 14:46, 2021-12-13 23:59:59,88,100,10/8/2021 2:51, 2022-02-13 23:59:59,91,100,4/29/2022 5:23, 2021-09-29 23:59:5
HDOOYGV, Alphonzo, Aker,91,100,11/28/2021 10:46, 2022-03-27 23:59:59,79,100,5/18/2022 1:32, 2021-12-13 23:59:59,99,100,12/15/2021 8:19, 2022-02-13 23:59:59,98,100,3/27/2022 9:01, 2021-09-29 23:59:5
91OMF38, Milo, Hai,77,100,2/10/2022 10:10, 2022-03-27 23:59:59,100,100,9/7/2021 19:34, 2021-12-13 23:59:59,95,100,11/17/2021 11:11, 2022-02-13 23:59:59,95,100,9/19/2021 6:18, 2021-09-29 23:59:5
2HYQJQT, Clem, Darc,78,100,4/10/2022 6:20, 2022-03-27 23:59:59,81,100,2/28/2022 3:57, 2021-12-13 23:59:59,100,100,3/18/2022 15:28, 2022-02-13 23:59:59,93,100,5/25/2022 8:16, 2021-09-29 23:59:5
MMBP1HB, Sallie, Whittl,83,100,1/10/2022 10:14, 2022-03-27 23:59:59,69,100,12/16/2021 12:15, 2021-12-13 23:59:59,97,100,3/4/2022 22:31, 2022-02-13 23:59:59,96,100,2/13/2022 23:50, 2021-09-29 23:59:5
4JNHPMA, Indigo, Hardwic,97,100,3/11/2022 14:45, 2022-03-27 23:59:59,74,100,2/6/2022 11:00, 2021-12-13 23:59:59,94,100,12/3/2021 21:31, 2022-02-13 23:59:59,93,100,10/17/2021 11:14, 2021-09-29 23:59:5
E39KSQ5, Elliana, Porte,93,100,6/5/2022 5:19, 2022-03-27 23:59:59,70,100,9/19/2021 2:55, 2021-12-13 23:59:59,93,100,4/25/2022 12:43, 2022-02-13 23:59:59,94,100,2/28/2022 8:26, 2021-09-29 23:59:5
4MATDNQ, Rosanne, Gillia,85,100,10/6/2021 0:09, 2022-03-27 23:59:59,77,100,1/26/2022 1:28, 2021-12-13 23:59:59,93,100,3/7/2022 19:42, 2022-02-13 23:59:59,100,100,3/29/2022 4:00, 2021-09-29 23:59:5
0LSKZJZ, Indy, Whit,91,100,4/6/2022 2:58, 2022-03-27 23:59:59,77,100,3/31/2022 2:12, 2021-12-13 23:59:59,85,100,5/1/2022 7:25, 2022-02-13 23:59:59,71,100,5/4/2022 21:13, 2021-09-29 23:59:5
E7J4CYB, Glenna, Haywar,100,100,10/9/2021 23:02, 2022-03-27 23:59:59,99,100,11/20/2021 15:06, 2021-12-13 23:59:59,99,100,3/2/2022 5:45, 2022-02-13 23:59:59,81,100,1/5/2022 23:59, 2021-09-29 23:59:5
5VRGYI6, Elma, Burnha,87,100,10/9/2021 22:31, 2022-03-27 23:59:59,72,100,10/11/2021 1:58, 2021-12-13 23:59:59,85,100,4/8/2022 7:54, 2022-02-13 23:59:59,87,100,3/1/2022 15:04, 2021-09-29 23:59:5
92664UB, Royce, Simo,92,100,3/1/2022 0:03, 2022-03-27 23:59:59,81,100,3/23/2022 16:11, 2021-12-13 23:59:59,86,100,2/22/2022 16:28, 2022-02-13 23:59:59,82,100,4/16/2022 7:27, 2021-09-29 23:59:5
KTDUKYU, Stephani, Dudle,93,100,4/20/2022 12:04, 2022-03-27 23:59:59,96,100,10/3/2021 18:07, 2021-12-13 23:59:59,97,100,11/6/2021 7:24, 2022-02-13 23:59:59,96,100,9/2/2021 21:23, 2021-09-29 23:59:5
FNQ2F6S, Krista, Ead,98,100,11/28/2021 13:36, 2022-03-27 23:59:59,87,100,1/23/2022 5:02, 2021-12-13 23:59:59,87,100,4/18/2022 19:46, 2022-02-13 23:59:59,99,100,11/12/2021 18:16, 2021-09-29 23:59:5
192ZRXP, Merrilyn, Cook,98,100,10/28/2021 16:44, 2022-03-27 23:59:59,65,100,9/15/2021 13:22, 2021-12-13 23:59:59,95,100,5/11/2022 10:44, 2022-02-13 23:59:59,96,100,3/11/2022 21:30, 2021-09-29 23:59:5
PUK5MD8, Kayden, Whiner,76,100,10/31/2021 13:52, 2022-03-27 23:59:59,66,100,9/19/2021 17:00, 2021-12-13 23:59:59,100,100,5/14/2022 12:04, 2022-02-13 23:59:59,82,100,4/3/2022 11:10, 2021-09-29 23:59:5
R8NK7QQ, Griffin, Osbourn,95,100,4/2/2022 20:54, 2022-03-27 23:59:59,77,100,10/14/2021 16:08, 2021-12-13 23:59:59,98,100,4/9/2022 20:45, 2022-02-13 23:59:59,77,100,1/10/2022 11:45, 2021-09-29 23:59:5
6OL0TOR, Louie, Alliso,76,100,10/8/2021 2:08, 2022-03-27 23:59:59,96,100,10/23/2021 17:50, 2021-12-13 23:59:59,88,100,5/2/2022 7:24, 2022-02-13 23:59:59,73,100,4/20/2022 6:04, 2021-09-29 23:59:5
